                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0775,                 2.6776,                 1.1583,                      1,                0.07425,                0.49696,                0.39576,                 1.0034,                 2.7162,                 1.1716,             0.00037154,             0.00037154,             0.00037154
                      2,                0.93256,                 1.5156,                 1.0672,                 0.6336,                 0.3236,                0.55899,                0.39404,                 1.0666,                 2.4809,                  1.372,             0.00074987,             0.00074987,             0.00074987
                      3,                0.90437,                 1.2388,                 1.0482,                0.78701,                 0.6388,                0.78846,                0.63772,                0.87949,                 1.6026,                  1.098,              0.0011206,              0.0011206,              0.0011206
                      4,                0.89276,                  1.155,                 1.0332,                 0.6913,                 0.8843,                0.76082,                0.52311,                 1.0422,                 1.2315,                 1.2803,              0.0013866,              0.0013866,              0.0013866
                      5,                0.87156,                 1.0791,                  1.033,                0.62733,                0.85744,                0.81813,                0.57778,                0.93555,                 1.1238,                 1.2396,              0.0013724,              0.0013724,              0.0013724
                      6,                0.84652,                0.98383,                 1.0176,                0.71988,                0.83243,                0.89866,                0.67611,                0.79275,                 1.0486,                 1.1093,              0.0013583,              0.0013583,              0.0013583
                      7,                0.82055,                0.94615,                 1.0116,                0.89409,                0.74896,                0.89321,                0.69418,                0.74554,                0.85955,                 1.0103,              0.0013441,              0.0013441,              0.0013441
                      8,                0.78636,                0.87925,                0.99466,                0.88463,                0.71213,                0.77221,                0.58891,                0.82523,                 1.0448,                 1.0739,                0.00133,                0.00133,                0.00133
                      9,                0.78555,                0.83647,                0.99098,                0.84522,                 0.8021,                0.82897,                0.56873,                0.96302,                0.99653,                 1.1659,              0.0013158,              0.0013158,              0.0013158
                     10,                0.78869,                0.82168,                0.99244,                0.92727,                0.98611,                0.95481,                 0.7689,                0.72593,                0.72583,                 1.0238,              0.0013017,              0.0013017,              0.0013017
                     11,                0.76881,                0.79851,                 1.0018,                0.88304,                0.94982,                0.96527,                0.77315,                0.72414,                0.69951,                 1.0057,              0.0012875,              0.0012875,              0.0012875
                     12,                0.75743,                0.75895,                0.97609,                0.94597,                0.94708,                0.97358,                0.78552,                0.66781,                0.65398,                 1.0094,              0.0012734,              0.0012734,              0.0012734
                     13,                0.73749,                0.72147,                0.97768,                0.97369,                0.94986,                0.98427,                0.79023,                0.71609,                0.63508,                  1.004,              0.0012592,              0.0012592,              0.0012592
                     14,                0.73717,                0.71277,                0.98125,                0.95765,                0.98929,                0.99359,                0.82132,                0.68457,                0.59252,                0.96057,              0.0012451,              0.0012451,              0.0012451
                     15,                0.73388,                0.68751,                 0.9835,                0.96045,                0.97964,                0.99176,                0.82058,                0.65651,                0.57195,                0.97565,              0.0012309,              0.0012309,              0.0012309
                     16,                0.71568,                0.65655,                0.96164,                0.96871,                0.97379,                0.98616,                0.77241,                0.74512,                 0.5862,                 1.1178,              0.0012168,              0.0012168,              0.0012168
                     17,                0.71852,                0.63099,                0.96882,                0.98467,                0.97785,                0.99406,                0.78955,                0.72843,                0.57737,                 1.0526,              0.0012026,              0.0012026,              0.0012026
                     18,                0.70493,                0.63265,                 0.9645,                0.97491,                0.94811,                0.98551,                0.81548,                 0.6548,                0.58205,                0.98121,              0.0011885,              0.0011885,              0.0011885
                     19,                0.69567,                0.61948,                0.96495,                0.98036,                0.96799,                0.98799,                0.83633,                0.61355,                0.52732,                0.95129,              0.0011744,              0.0011744,              0.0011744
                     20,                0.69548,                0.60988,                0.95716,                 0.9582,                0.99081,                0.99478,                0.82095,                0.62556,                0.53211,                0.93993,              0.0011602,              0.0011602,              0.0011602
                     21,                0.69448,                0.61924,                0.95628,                0.87259,                0.97474,                0.97901,                0.76938,                0.69519,                0.59751,                  1.001,              0.0011461,              0.0011461,              0.0011461
                     22,                0.65704,                0.59299,                0.94772,                0.96628,                0.99053,                0.98628,                0.82845,                0.59307,                0.49038,                 0.9303,              0.0011319,              0.0011319,              0.0011319
                     23,                0.66273,                0.57398,                0.94528,                0.99488,                 0.9749,                0.99281,                0.84287,                  0.608,                0.45868,                0.96125,              0.0011178,              0.0011178,              0.0011178
                     24,                  0.671,                0.57611,                0.96144,                 0.9727,                0.98469,                0.99441,                0.83615,                0.60849,                0.51772,                0.94441,              0.0011036,              0.0011036,              0.0011036
                     25,                  0.673,                0.57527,                0.95604,                0.98034,                0.96327,                0.98904,                0.84513,                0.57208,                0.53542,                0.91014,              0.0010895,              0.0010895,              0.0010895
                     26,                0.65802,                0.55954,                0.93529,                0.99547,                0.98148,                 0.9902,                0.83815,                 0.5866,                0.47021,                0.92789,              0.0010753,              0.0010753,              0.0010753
                     27,                0.68035,                  0.547,                0.95687,                0.96867,                0.98758,                0.98859,                0.85322,                0.61075,                0.43605,                0.93033,              0.0010612,              0.0010612,              0.0010612
                     28,                0.63623,                  0.524,                0.93543,                0.96779,                0.98686,                0.98813,                0.81902,                0.63469,                0.53408,                0.93396,               0.001047,               0.001047,               0.001047
                     29,                0.65521,                0.53696,                0.94563,                0.98572,                0.97535,                0.99396,                0.88383,                0.54223,                0.43997,                0.86002,              0.0010329,              0.0010329,              0.0010329
                     30,                0.63836,                0.53109,                 0.9375,                0.97516,                0.98445,                0.99397,                0.85309,                0.54454,                0.39414,                0.86768,              0.0010187,              0.0010187,              0.0010187
                     31,                 0.6227,                0.51772,                0.93604,                0.97035,                0.99305,                0.99411,                0.86275,                0.57751,                0.39885,                0.92093,              0.0010046,              0.0010046,              0.0010046
                     32,                0.62609,                0.51308,                 0.9283,                0.98799,                0.99537,                0.99229,                0.85299,                0.61339,                0.41272,                0.95822,             0.00099044,             0.00099044,             0.00099044
                     33,                0.61376,                0.50161,                0.92804,                0.99258,                0.99377,                 0.9947,                0.85361,                0.58104,                0.40287,                0.92705,             0.00097629,             0.00097629,             0.00097629
                     34,                0.62806,                0.50271,                0.94054,                0.96734,                0.96577,                  0.981,                 0.8416,                  0.543,                0.40237,                0.91491,             0.00096215,             0.00096215,             0.00096215
                     35,                0.62903,                    0.5,                 0.9306,                0.98427,                0.99833,                 0.9943,                0.88103,                0.56366,                0.36848,                0.92312,               0.000948,               0.000948,               0.000948
                     36,                0.62188,                 0.4921,                 0.9293,                0.99317,                0.97247,                0.99134,                0.87942,                0.57155,                0.38036,                0.92471,             0.00093385,             0.00093385,             0.00093385
                     37,                0.61468,                0.49028,                0.93286,                0.98426,                0.99074,                0.99405,                0.86937,                0.57779,                 0.3792,                0.90225,              0.0009197,              0.0009197,              0.0009197
                     38,                 0.6088,                 0.4794,                0.92776,                0.98322,                0.98734,                0.99329,                0.84042,                0.58218,                0.40905,                0.92011,             0.00090556,             0.00090556,             0.00090556
                     39,                0.61009,                0.48162,                0.92696,                0.98595,                0.97685,                0.99303,                 0.8241,                 0.6014,                 0.3988,                0.94046,             0.00089141,             0.00089141,             0.00089141
                     40,                0.60161,                0.47807,                0.92008,                0.96003,                0.99683,                0.99331,                0.86422,                 0.5462,                0.39067,                0.87945,             0.00087726,             0.00087726,             0.00087726
                     41,                0.58695,                0.46943,                0.91826,                0.95515,                0.98761,                0.98954,                0.87452,                0.55424,                0.38315,                 0.9074,             0.00086312,             0.00086312,             0.00086312
                     42,                0.59034,                0.47196,                0.92607,                0.97017,                 0.9938,                0.98906,                0.83762,                0.59784,                0.39859,                0.91288,             0.00084897,             0.00084897,             0.00084897
                     43,                0.58408,                0.46013,                0.91633,                0.97957,                0.97922,                0.98948,                0.85217,                0.56231,                0.41318,                0.87982,             0.00083482,             0.00083482,             0.00083482
                     44,                0.58519,                0.46356,                0.91373,                 0.9549,                0.99224,                0.99243,                0.86354,                0.53795,                0.38458,                0.90967,             0.00082067,             0.00082067,             0.00082067
                     45,                0.57949,                0.45029,                0.91848,                 0.9782,                0.99495,                0.99063,                0.86013,                0.53017,                0.37009,                0.91077,             0.00080653,             0.00080653,             0.00080653
                     46,                0.58303,                0.44735,                0.92065,                0.98074,                0.99241,                0.99115,                0.85896,                0.57926,                0.35315,                0.91863,             0.00079238,             0.00079238,             0.00079238
                     47,                0.56967,                0.44632,                0.90732,                0.96125,                0.99359,                0.99063,                0.84605,                0.60335,                0.37893,                0.95256,             0.00077823,             0.00077823,             0.00077823
                     48,                0.59045,                0.44424,                 0.9207,                0.96623,                0.99273,                0.99089,                0.87191,                0.53602,                0.36643,                 0.9031,             0.00076409,             0.00076409,             0.00076409
