                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0775,                 2.6776,                 1.1583,                      1,                0.07425,                0.49696,                0.39576,                 1.0034,                 2.7162,                 1.1716,             0.00037154,             0.00037154,             0.00037154
                      2,                0.93255,                 1.5207,                 1.0656,                0.97644,                0.35465,                0.58924,                 0.4469,                 1.0939,                 2.4472,                 1.4031,             0.00075662,             0.00075662,             0.00075662
                      3,                0.90966,                 1.2656,                  1.055,                0.41125,                0.61812,                0.58661,                0.46153,                0.85257,                 1.6778,                 1.1679,              0.0011409,              0.0011409,              0.0011409
                      4,                0.88828,                 1.1574,                 1.0369,                0.70982,                0.63449,                0.64715,                0.48525,                0.86902,                 1.4071,                 1.1765,              0.0014248,              0.0014248,              0.0014248
                      5,                0.87114,                 1.0842,                 1.0332,                0.90946,                0.61989,                0.82419,                0.59032,                0.95295,                 1.2515,                 1.2842,              0.0014233,              0.0014233,              0.0014233
                      6,                0.86113,                 1.0113,                 1.0286,                 0.9328,                0.87854,                0.90738,                0.72208,                0.79414,                0.90697,                 1.1946,              0.0014219,              0.0014219,              0.0014219
                      7,                0.83214,                0.95947,                 1.0175,                0.90336,                 0.8554,                0.93357,                0.75451,                0.78224,                0.86922,                 1.1332,              0.0014205,              0.0014205,              0.0014205
                      8,                0.80595,                0.89112,                 1.0142,                0.91568,                0.70755,                0.87558,                0.70252,                0.74616,                0.89199,                 1.0692,              0.0014191,              0.0014191,              0.0014191
                      9,                0.77416,                0.82294,                0.98509,                0.97147,                0.94183,                0.97874,                0.79744,                0.67627,                0.75833,                 1.0256,              0.0014177,              0.0014177,              0.0014177
                     10,                 0.7918,                0.82593,                0.98705,                0.89783,                0.94867,                0.96421,                0.76724,                0.74389,                0.78352,                 1.0151,              0.0014163,              0.0014163,              0.0014163
                     11,                0.79012,                0.82042,                 1.0119,                0.85007,                0.94273,                 0.8985,                0.70695,                0.81347,                0.86521,                  1.079,              0.0014149,              0.0014149,              0.0014149
                     12,                0.78783,                0.76261,                0.98958,                0.93301,                 0.9472,                0.98525,                0.81751,                0.63283,                0.63076,                0.94994,              0.0014134,              0.0014134,              0.0014134
                     13,                0.75267,                0.71533,                0.98632,                0.96606,                0.93269,                0.98292,                  0.783,                0.75963,                0.63432,                 1.0812,               0.001412,               0.001412,               0.001412
                     14,                0.73715,                0.71082,                 0.9843,                0.95245,                0.93735,                0.98269,                0.73719,                0.79166,                0.63951,                  1.099,              0.0014106,              0.0014106,              0.0014106
                     15,                0.74721,                0.69353,                0.98665,                0.95055,                0.97959,                 0.9778,                0.79278,                0.68334,                0.57367,                0.98695,              0.0014092,              0.0014092,              0.0014092
                     16,                0.72664,                0.66568,                0.95995,                0.95359,                0.96809,                0.97826,                0.78434,                0.65673,                0.60068,                0.95405,              0.0014078,              0.0014078,              0.0014078
                     17,                0.74326,                0.64829,                0.97135,                0.96929,                0.97272,                0.98925,                0.83089,                0.64823,                0.58541,                0.96108,              0.0014064,              0.0014064,              0.0014064
                     18,                0.73271,                0.64953,                 0.9737,                0.96747,                0.98148,                0.98395,                0.76943,                0.78331,                0.64169,                 1.0604,              0.0014049,              0.0014049,              0.0014049
                     19,                0.72609,                0.65281,                0.97325,                0.97428,                0.96831,                0.99014,                 0.8254,                0.68774,                0.57498,                   0.96,              0.0014035,              0.0014035,              0.0014035
                     20,                0.71377,                0.63007,                0.96831,                0.96359,                0.99074,                0.99421,                0.83288,                0.63485,                0.52348,                0.98193,              0.0014021,              0.0014021,              0.0014021
